Date	Country	Type	Order Category	Product	New	Total
2024-08-19 00:00:00	USA	Base	Commercial	Pluvicto	121	122
2024-08-20 00:00:00	USA	Base	Commercial	Pluvicto	123	124
2024-08-21 00:00:00	USA	Base	Commercial	Pluvicto	125	126
2024-08-22 00:00:00	USA	Base	Commercial	Pluvicto	127	128
2024-08-23 00:00:00	USA	Base	Commercial	Pluvicto	129	130
2024-08-24 00:00:00	USA	Base	Commercial	Pluvicto	131	132
2024-08-25 00:00:00	USA	Base	Commercial	Pluvicto	133	134
2024-08-26 00:00:00	USA	Base	Commercial	Pluvicto	135	136
2024-08-27 00:00:00	USA	Base	Commercial	Pluvicto	137	138
2024-08-28 00:00:00	USA	Base	Commercial	Pluvicto	139	140
2024-08-29 00:00:00	USA	Base	Commercial	Pluvicto	141	142
2024-08-30 00:00:00	USA	Base	Commercial	Pluvicto	143	144
2024-08-31 00:00:00	USA	Base	Commercial	Pluvicto	145	146
2024-09-01 00:00:00	USA	Base	Commercial	Pluvicto	147	148
2024-09-02 00:00:00	USA	Base	Commercial	Pluvicto	149	150
2024-09-03 00:00:00	USA	Base	Commercial	Pluvicto	151	152
2024-09-04 00:00:00	USA	Base	Commercial	Pluvicto	153	154
2024-09-05 00:00:00	USA	Base	Commercial	Pluvicto	155	156
2024-09-06 00:00:00	USA	Base	Commercial	Pluvicto	157	158
2024-09-07 00:00:00	USA	Base	Commercial	Pluvicto	159	160
2024-09-08 00:00:00	USA	Base	Commercial	Pluvicto	161	162
2024-09-09 00:00:00	USA	Base	Commercial	Pluvicto	163	164
2024-09-10 00:00:00	USA	Base	Commercial	Pluvicto	165	166
2024-09-11 00:00:00	USA	Base	Commercial	Pluvicto	167	168
2024-09-12 00:00:00	USA	Base	Commercial	Pluvicto	169	170
2024-09-13 00:00:00	USA	Base	Commercial	Pluvicto	171	172
2024-09-14 00:00:00	USA	Base	Commercial	Pluvicto	173	174
2024-09-15 00:00:00	USA	Base	Commercial	Pluvicto	175	176
2024-09-16 00:00:00	USA	Base	Commercial	Pluvicto	177	178
2024-09-17 00:00:00	USA	Base	Commercial	Pluvicto	179	180
2024-09-18 00:00:00	USA	Base	Commercial	Pluvicto	181	182
2024-09-19 00:00:00	USA	Base	Commercial	Pluvicto	183	184
2024-09-20 00:00:00	USA	Base	Commercial	Pluvicto	185	186
2024-09-21 00:00:00	USA	Base	Commercial	Pluvicto	187	188
2024-09-22 00:00:00	USA	Base	Commercial	Pluvicto	189	190
2024-09-23 00:00:00	USA	Base	Commercial	Pluvicto	191	192
2024-09-24 00:00:00	USA	Base	Commercial	Pluvicto	193	194
2024-09-25 00:00:00	USA	Base	Commercial	Pluvicto	195	196
2024-09-26 00:00:00	USA	Base	Commercial	Pluvicto	197	198
2024-09-27 00:00:00	USA	Base	Commercial	Pluvicto	199	200
2024-09-28 00:00:00	USA	Base	Commercial	Pluvicto	201	202
2024-09-29 00:00:00	USA	Base	Commercial	Pluvicto	203	204
2024-09-30 00:00:00	USA	Base	Commercial	Pluvicto	205	206
2024-10-01 00:00:00	USA	Base	Commercial	Pluvicto	207	208
2024-10-02 00:00:00	USA	Base	Commercial	Pluvicto	209	210
2024-10-03 00:00:00	USA	Base	Commercial	Pluvicto	211	212
2024-10-04 00:00:00	USA	Base	Commercial	Pluvicto	213	214
2024-10-05 00:00:00	USA	Base	Commercial	Pluvicto	215	216
2024-10-06 00:00:00	USA	Base	Commercial	Pluvicto	217	218
2024-10-07 00:00:00	USA	Base	Commercial	Pluvicto	219	220
2024-10-08 00:00:00	USA	Base	Commercial	Pluvicto	221	222
2024-10-09 00:00:00	USA	Base	Commercial	Pluvicto	223	224
2024-10-10 00:00:00	USA	Base	Commercial	Pluvicto	225	226
2024-10-11 00:00:00	USA	Base	Commercial	Pluvicto	227	228
2024-10-12 00:00:00	USA	Base	Commercial	Pluvicto	229	230
2024-10-13 00:00:00	USA	Base	Commercial	Pluvicto	231	232
2024-10-14 00:00:00	USA	Base	Commercial	Pluvicto	233	234
2024-10-15 00:00:00	USA	Base	Commercial	Pluvicto	235	236
2024-10-16 00:00:00	USA	Base	Commercial	Pluvicto	237	238
2024-10-17 00:00:00	USA	Base	Commercial	Pluvicto	239	240
2024-10-18 00:00:00	USA	Base	Commercial	Pluvicto	241	242
2024-10-19 00:00:00	USA	Base	Commercial	Pluvicto	243	244
2024-10-20 00:00:00	USA	Base	Commercial	Pluvicto	245	246
2024-10-21 00:00:00	USA	Base	Commercial	Pluvicto	247	248
2024-10-22 00:00:00	USA	Base	Commercial	Pluvicto	249	250
2024-10-23 00:00:00	USA	Base	Commercial	Pluvicto	251	252
2024-10-24 00:00:00	USA	Base	Commercial	Pluvicto	253	254
2024-10-25 00:00:00	USA	Base	Commercial	Pluvicto	255	256
2024-10-26 00:00:00	USA	Base	Commercial	Pluvicto	257	258
2024-10-27 00:00:00	USA	Base	Commercial	Pluvicto	259	260
2024-10-28 00:00:00	USA	Base	Commercial	Pluvicto	261	262
2024-10-29 00:00:00	USA	Base	Commercial	Pluvicto	263	264
2024-10-30 00:00:00	USA	Base	Commercial	Pluvicto	265	266
2024-10-31 00:00:00	USA	Base	Commercial	Pluvicto	267	268
2024-11-01 00:00:00	USA	Base	Commercial	Pluvicto	269	270
2024-11-02 00:00:00	USA	Base	Commercial	Pluvicto	271	272
2024-11-03 00:00:00	USA	Base	Commercial	Pluvicto	273	274
2024-11-04 00:00:00	USA	Base	Commercial	Pluvicto	275	276
2024-11-05 00:00:00	USA	Base	Commercial	Pluvicto	277	278
2024-11-06 00:00:00	USA	Base	Commercial	Pluvicto	279	280
2024-11-07 00:00:00	USA	Base	Commercial	Pluvicto	281	282
2024-11-08 00:00:00	USA	Base	Commercial	Pluvicto	283	284
2024-11-09 00:00:00	USA	Base	Commercial	Pluvicto	285	286
2024-11-10 00:00:00	USA	Base	Commercial	Pluvicto	287	288
2024-11-11 00:00:00	USA	Base	Commercial	Pluvicto	289	290
2024-11-12 00:00:00	USA	Base	Commercial	Pluvicto	291	292
2024-11-13 00:00:00	USA	Base	Commercial	Pluvicto	293	294
2024-11-14 00:00:00	USA	Base	Commercial	Pluvicto	295	296
2024-11-15 00:00:00	USA	Base	Commercial	Pluvicto	297	298
2024-11-16 00:00:00	USA	Base	Commercial	Pluvicto	299	300
2024-11-17 00:00:00	USA	Base	Commercial	Pluvicto	301	302
2024-11-18 00:00:00	USA	Base	Commercial	Pluvicto	303	304
2024-11-19 00:00:00	USA	Base	Commercial	Pluvicto	305	306
2024-11-20 00:00:00	USA	Base	Commercial	Pluvicto	307	308
2024-11-21 00:00:00	USA	Base	Commercial	Pluvicto	309	310
2024-11-22 00:00:00	USA	Base	Commercial	Pluvicto	311	312
2024-11-23 00:00:00	USA	Base	Commercial	Pluvicto	313	314
2024-11-24 00:00:00	USA	Base	Commercial	Pluvicto	315	316
2024-11-25 00:00:00	USA	Base	Commercial	Pluvicto	317	318
2024-11-26 00:00:00	USA	Base	Commercial	Pluvicto	319	320
2024-11-27 00:00:00	USA	Base	Commercial	Pluvicto	321	322
2024-11-28 00:00:00	USA	Base	Commercial	Pluvicto	323	324
2024-11-29 00:00:00	USA	Base	Commercial	Pluvicto	325	326
2024-11-30 00:00:00	USA	Base	Commercial	Pluvicto	327	328
2024-12-01 00:00:00	USA	Base	Commercial	Pluvicto	329	330
2024-12-02 00:00:00	USA	Base	Commercial	Pluvicto	331	332
2024-12-03 00:00:00	USA	Base	Commercial	Pluvicto	333	334
2024-12-04 00:00:00	USA	Base	Commercial	Pluvicto	335	336
2024-12-05 00:00:00	USA	Base	Commercial	Pluvicto	337	338
2024-12-06 00:00:00	USA	Base	Commercial	Pluvicto	339	340
2024-12-07 00:00:00	USA	Base	Commercial	Pluvicto	341	342
2024-12-08 00:00:00	USA	Base	Commercial	Pluvicto	343	344
2024-12-09 00:00:00	USA	Base	Commercial	Pluvicto	345	346
2024-12-10 00:00:00	USA	Base	Commercial	Pluvicto	347	348
2024-12-11 00:00:00	USA	Base	Commercial	Pluvicto	349	350
2024-12-12 00:00:00	USA	Base	Commercial	Pluvicto	351	352
2024-12-13 00:00:00	USA	Base	Commercial	Pluvicto	353	354
2024-12-14 00:00:00	USA	Base	Commercial	Pluvicto	355	356
2024-12-15 00:00:00	USA	Base	Commercial	Pluvicto	357	358
2024-12-16 00:00:00	USA	Base	Commercial	Pluvicto	359	360
2024-12-17 00:00:00	USA	Base	Commercial	Pluvicto	361	362
2024-12-18 00:00:00	USA	Base	Commercial	Pluvicto	363	364
2024-12-19 00:00:00	USA	Base	Commercial	Pluvicto	365	366
2024-12-20 00:00:00	USA	Base	Commercial	Pluvicto	367	368
2024-12-21 00:00:00	USA	Base	Commercial	Pluvicto	369	370
2024-12-22 00:00:00	USA	Base	Commercial	Pluvicto	371	372
2024-12-23 00:00:00	USA	Base	Commercial	Pluvicto	373	374
2024-12-24 00:00:00	USA	Base	Commercial	Pluvicto	375	376
2024-12-25 00:00:00	USA	Base	Commercial	Pluvicto	377	378
2024-12-26 00:00:00	USA	Base	Commercial	Pluvicto	379	380
2024-12-27 00:00:00	USA	Base	Commercial	Pluvicto	381	382
2024-12-28 00:00:00	USA	Base	Commercial	Pluvicto	383	384
2024-12-29 00:00:00	USA	Base	Commercial	Pluvicto	385	386
2024-12-30 00:00:00	USA	Base	Commercial	Pluvicto	387	388
2024-12-31 00:00:00	USA	Base	Commercial	Pluvicto	389	390
2025-01-01 00:00:00	USA	Base	Commercial	Pluvicto	391	392
2025-01-02 00:00:00	USA	Base	Commercial	Pluvicto	393	394
2025-01-03 00:00:00	USA	Base	Commercial	Pluvicto	395	396
2025-01-04 00:00:00	USA	Base	Commercial	Pluvicto	397	398
2025-01-05 00:00:00	USA	Base	Commercial	Pluvicto	399	400
2025-01-06 00:00:00	USA	Base	Commercial	Pluvicto	401	402
2025-01-07 00:00:00	USA	Base	Commercial	Pluvicto	403	404
2025-01-08 00:00:00	USA	Base	Commercial	Pluvicto	405	406
2025-01-09 00:00:00	USA	Base	Commercial	Pluvicto	407	408
2025-01-10 00:00:00	USA	Base	Commercial	Pluvicto	409	410
2025-01-11 00:00:00	USA	Base	Commercial	Pluvicto	411	412
2025-01-12 00:00:00	USA	Base	Commercial	Pluvicto	413	414
2025-01-13 00:00:00	USA	Base	Commercial	Pluvicto	415	416
2025-01-14 00:00:00	USA	Base	Commercial	Pluvicto	417	418
2025-01-15 00:00:00	USA	Base	Commercial	Pluvicto	419	420
2025-01-16 00:00:00	USA	Base	Commercial	Pluvicto	421	422
2025-01-17 00:00:00	USA	Base	Commercial	Pluvicto	423	424
2025-01-18 00:00:00	USA	Base	Commercial	Pluvicto	425	426
2025-01-19 00:00:00	USA	Base	Commercial	Pluvicto	427	428
2025-01-20 00:00:00	USA	Base	Commercial	Pluvicto	429	430
2024-06-20 00:00:00	USA	Best	Commercial	Pluvicto	5	2
2024-06-21 00:00:00	USA	Best	Commercial	Pluvicto	6	7
2024-06-22 00:00:00	USA	Best	Commercial	Pluvicto	7	12
2024-06-23 00:00:00	USA	Best	Commercial	Pluvicto	8	17
2024-06-24 00:00:00	USA	Best	Commercial	Pluvicto	9	22
2024-06-25 00:00:00	USA	Best	Commercial	Pluvicto	10	27
2024-06-26 00:00:00	USA	Best	Commercial	Pluvicto	11	32
2024-06-27 00:00:00	USA	Best	Commercial	Pluvicto	12	37
2024-06-28 00:00:00	USA	Best	Commercial	Pluvicto	13	42
2024-06-29 00:00:00	USA	Best	Commercial	Pluvicto	14	47
2024-06-30 00:00:00	USA	Best	Commercial	Pluvicto	15	52
2024-07-01 00:00:00	USA	Best	Commercial	Pluvicto	16	57
2024-07-02 00:00:00	USA	Best	Commercial	Pluvicto	17	62
2024-07-03 00:00:00	USA	Best	Commercial	Pluvicto	18	67
2024-07-04 00:00:00	USA	Best	Commercial	Pluvicto	19	72
2024-07-05 00:00:00	USA	Best	Commercial	Pluvicto	20	77
2024-07-06 00:00:00	USA	Best	Commercial	Pluvicto	21	82
2024-07-07 00:00:00	USA	Best	Commercial	Pluvicto	22	87
2024-07-08 00:00:00	USA	Best	Commercial	Pluvicto	23	92
2024-07-09 00:00:00	USA	Best	Commercial	Pluvicto	24	97
2024-07-10 00:00:00	USA	Best	Commercial	Pluvicto	25	102
2024-07-11 00:00:00	USA	Best	Commercial	Pluvicto	26	107
2024-07-12 00:00:00	USA	Best	Commercial	Pluvicto	27	112
2024-07-13 00:00:00	USA	Best	Commercial	Pluvicto	28	117
2024-07-14 00:00:00	USA	Best	Commercial	Pluvicto	29	122
2024-07-15 00:00:00	USA	Best	Commercial	Pluvicto	30	127
2024-07-16 00:00:00	USA	Best	Commercial	Pluvicto	31	132
2024-07-17 00:00:00	USA	Best	Commercial	Pluvicto	32	137
2024-07-18 00:00:00	USA	Best	Commercial	Pluvicto	33	142
2024-07-19 00:00:00	USA	Best	Commercial	Pluvicto	34	147
2024-07-20 00:00:00	USA	Best	Commercial	Pluvicto	35	152
2024-07-21 00:00:00	USA	Best	Commercial	Pluvicto	36	157
2024-07-22 00:00:00	USA	Best	Commercial	Pluvicto	37	162
2024-07-23 00:00:00	USA	Best	Commercial	Pluvicto	38	167
2024-07-24 00:00:00	USA	Best	Commercial	Pluvicto	39	172
2024-07-25 00:00:00	USA	Best	Commercial	Pluvicto	40	177
2024-07-26 00:00:00	USA	Best	Commercial	Pluvicto	41	182
2024-07-27 00:00:00	USA	Best	Commercial	Pluvicto	42	187
2024-07-28 00:00:00	USA	Best	Commercial	Pluvicto	43	192
2024-07-29 00:00:00	USA	Best	Commercial	Pluvicto	44	197
2024-07-30 00:00:00	USA	Best	Commercial	Pluvicto	45	202
2024-07-31 00:00:00	USA	Best	Commercial	Pluvicto	46	207
2024-08-01 00:00:00	USA	Best	Commercial	Pluvicto	47	212
2024-08-02 00:00:00	USA	Best	Commercial	Pluvicto	48	217
2024-08-03 00:00:00	USA	Best	Commercial	Pluvicto	49	222
2024-08-04 00:00:00	USA	Best	Commercial	Pluvicto	50	227
2024-08-05 00:00:00	USA	Best	Commercial	Pluvicto	51	232
2024-08-06 00:00:00	USA	Best	Commercial	Pluvicto	52	237
2024-08-07 00:00:00	USA	Best	Commercial	Pluvicto	53	242
2024-08-08 00:00:00	USA	Best	Commercial	Pluvicto	54	247
2024-08-09 00:00:00	USA	Best	Commercial	Pluvicto	55	252
2024-08-10 00:00:00	USA	Best	Commercial	Pluvicto	56	257
2024-08-11 00:00:00	USA	Best	Commercial	Pluvicto	57	262
2024-08-12 00:00:00	USA	Best	Commercial	Pluvicto	58	267
2024-08-13 00:00:00	USA	Best	Commercial	Pluvicto	59	272
2024-08-14 00:00:00	USA	Best	Commercial	Pluvicto	60	277
2024-08-15 00:00:00	USA	Best	Commercial	Pluvicto	61	282
2024-08-16 00:00:00	USA	Best	Commercial	Pluvicto	62	287
2024-08-17 00:00:00	USA	Best	Commercial	Pluvicto	63	292
2024-08-18 00:00:00	USA	Best	Commercial	Pluvicto	64	297
2024-08-19 00:00:00	USA	Best	Commercial	Pluvicto	65	302
2024-08-20 00:00:00	USA	Best	Commercial	Pluvicto	66	307
2024-08-21 00:00:00	USA	Best	Commercial	Pluvicto	67	312
2024-08-22 00:00:00	USA	Best	Commercial	Pluvicto	68	317
2024-08-23 00:00:00	USA	Best	Commercial	Pluvicto	69	322
2024-08-24 00:00:00	USA	Best	Commercial	Pluvicto	70	327
2024-08-25 00:00:00	USA	Best	Commercial	Pluvicto	71	332
2024-08-26 00:00:00	USA	Best	Commercial	Pluvicto	72	337
2024-08-27 00:00:00	USA	Best	Commercial	Pluvicto	73	342
2024-08-28 00:00:00	USA	Best	Commercial	Pluvicto	74	347
2024-08-29 00:00:00	USA	Best	Commercial	Pluvicto	75	352
2024-08-30 00:00:00	USA	Best	Commercial	Pluvicto	76	357
2024-08-31 00:00:00	USA	Best	Commercial	Pluvicto	77	362
2024-09-01 00:00:00	USA	Best	Commercial	Pluvicto	78	367
2024-09-02 00:00:00	USA	Best	Commercial	Pluvicto	79	372
2024-09-03 00:00:00	USA	Best	Commercial	Pluvicto	80	377
2024-09-04 00:00:00	USA	Best	Commercial	Pluvicto	81	382
2024-09-05 00:00:00	USA	Best	Commercial	Pluvicto	82	387
2024-09-06 00:00:00	USA	Best	Commercial	Pluvicto	83	392
2024-09-07 00:00:00	USA	Best	Commercial	Pluvicto	84	397
2024-09-08 00:00:00	USA	Best	Commercial	Pluvicto	85	402
2024-09-09 00:00:00	USA	Best	Commercial	Pluvicto	86	407
2024-09-10 00:00:00	USA	Best	Commercial	Pluvicto	87	412
2024-09-11 00:00:00	USA	Best	Commercial	Pluvicto	88	417
2024-09-12 00:00:00	USA	Best	Commercial	Pluvicto	89	422
2024-09-13 00:00:00	USA	Best	Commercial	Pluvicto	90	427
2024-09-14 00:00:00	USA	Best	Commercial	Pluvicto	91	432
2024-09-15 00:00:00	USA	Best	Commercial	Pluvicto	92	437
2024-09-16 00:00:00	USA	Best	Commercial	Pluvicto	93	442
2024-09-17 00:00:00	USA	Best	Commercial	Pluvicto	94	447
2024-09-18 00:00:00	USA	Best	Commercial	Pluvicto	95	452
2024-09-19 00:00:00	USA	Best	Commercial	Pluvicto	96	457
2024-09-20 00:00:00	USA	Best	Commercial	Pluvicto	97	462
2024-09-21 00:00:00	USA	Best	Commercial	Pluvicto	98	467
2024-09-22 00:00:00	USA	Best	Commercial	Pluvicto	99	472
2024-09-23 00:00:00	USA	Best	Commercial	Pluvicto	100	477
2024-09-24 00:00:00	USA	Best	Commercial	Pluvicto	101	482
2024-09-25 00:00:00	USA	Best	Commercial	Pluvicto	102	487
2024-09-26 00:00:00	USA	Best	Commercial	Pluvicto	103	492
2024-09-27 00:00:00	USA	Best	Commercial	Pluvicto	104	497
2024-09-28 00:00:00	USA	Best	Commercial	Pluvicto	105	502
2024-09-29 00:00:00	USA	Best	Commercial	Pluvicto	106	507
2024-09-30 00:00:00	USA	Best	Commercial	Pluvicto	107	512
2024-10-01 00:00:00	USA	Best	Commercial	Pluvicto	108	517
2024-10-02 00:00:00	USA	Best	Commercial	Pluvicto	109	522
2024-10-03 00:00:00	USA	Best	Commercial	Pluvicto	110	527
2024-10-04 00:00:00	USA	Best	Commercial	Pluvicto	111	532
2024-10-05 00:00:00	USA	Best	Commercial	Pluvicto	112	537
2024-10-06 00:00:00	USA	Best	Commercial	Pluvicto	113	542
2024-10-07 00:00:00	USA	Best	Commercial	Pluvicto	114	547
2024-10-08 00:00:00	USA	Best	Commercial	Pluvicto	115	552
2024-10-09 00:00:00	USA	Best	Commercial	Pluvicto	116	557
2024-10-10 00:00:00	USA	Best	Commercial	Pluvicto	117	562
2024-10-11 00:00:00	USA	Best	Commercial	Pluvicto	118	567
2024-10-12 00:00:00	USA	Best	Commercial	Pluvicto	119	572
2024-10-13 00:00:00	USA	Best	Commercial	Pluvicto	120	577
2024-10-14 00:00:00	USA	Best	Commercial	Pluvicto	121	582
2024-10-15 00:00:00	USA	Best	Commercial	Pluvicto	122	587
2024-10-16 00:00:00	USA	Best	Commercial	Pluvicto	123	592
2024-10-17 00:00:00	USA	Best	Commercial	Pluvicto	124	597
2024-10-18 00:00:00	USA	Best	Commercial	Pluvicto	125	602
2024-10-19 00:00:00	USA	Best	Commercial	Pluvicto	126	607
2024-10-20 00:00:00	USA	Best	Commercial	Pluvicto	127	612
2024-10-21 00:00:00	USA	Best	Commercial	Pluvicto	128	617
2024-10-22 00:00:00	USA	Best	Commercial	Pluvicto	129	622
2024-10-23 00:00:00	USA	Best	Commercial	Pluvicto	130	627
2024-10-24 00:00:00	USA	Best	Commercial	Pluvicto	131	632
2024-10-25 00:00:00	USA	Best	Commercial	Pluvicto	132	637
2024-10-26 00:00:00	USA	Best	Commercial	Pluvicto	133	642
2024-10-27 00:00:00	USA	Best	Commercial	Pluvicto	134	647
2024-10-28 00:00:00	USA	Best	Commercial	Pluvicto	135	652
2024-10-29 00:00:00	USA	Best	Commercial	Pluvicto	136	657
2024-10-30 00:00:00	USA	Best	Commercial	Pluvicto	137	662
2024-10-31 00:00:00	USA	Best	Commercial	Pluvicto	138	667
2024-11-01 00:00:00	USA	Best	Commercial	Pluvicto	139	672
2024-11-02 00:00:00	USA	Best	Commercial	Pluvicto	140	677
2024-11-03 00:00:00	USA	Best	Commercial	Pluvicto	141	682
2024-11-04 00:00:00	USA	Best	Commercial	Pluvicto	142	687
2024-11-05 00:00:00	USA	Best	Commercial	Pluvicto	143	692
2024-11-06 00:00:00	USA	Best	Commercial	Pluvicto	144	697
2024-11-07 00:00:00	USA	Best	Commercial	Pluvicto	145	702
2024-11-08 00:00:00	USA	Best	Commercial	Pluvicto	146	707
2024-11-09 00:00:00	USA	Best	Commercial	Pluvicto	147	712
2024-11-10 00:00:00	USA	Best	Commercial	Pluvicto	148	717
2024-11-11 00:00:00	USA	Best	Commercial	Pluvicto	149	722
2024-11-12 00:00:00	USA	Best	Commercial	Pluvicto	150	727
2024-11-13 00:00:00	USA	Best	Commercial	Pluvicto	151	732
2024-11-14 00:00:00	USA	Best	Commercial	Pluvicto	152	737
2024-11-15 00:00:00	USA	Best	Commercial	Pluvicto	153	742
2024-11-16 00:00:00	USA	Best	Commercial	Pluvicto	154	747
2024-11-17 00:00:00	USA	Best	Commercial	Pluvicto	155	752
2024-11-18 00:00:00	USA	Best	Commercial	Pluvicto	156	757
2024-11-19 00:00:00	USA	Best	Commercial	Pluvicto	157	762
2024-11-20 00:00:00	USA	Best	Commercial	Pluvicto	158	767
2024-11-21 00:00:00	USA	Best	Commercial	Pluvicto	159	772
2024-11-22 00:00:00	USA	Best	Commercial	Pluvicto	160	777
2024-11-23 00:00:00	USA	Best	Commercial	Pluvicto	161	782
2024-11-24 00:00:00	USA	Best	Commercial	Pluvicto	162	787
2024-11-25 00:00:00	USA	Best	Commercial	Pluvicto	163	792
2024-11-26 00:00:00	USA	Best	Commercial	Pluvicto	164	797
2024-11-27 00:00:00	USA	Best	Commercial	Pluvicto	165	802
2024-11-28 00:00:00	USA	Best	Commercial	Pluvicto	166	807
2024-11-29 00:00:00	USA	Best	Commercial	Pluvicto	167	812
2024-11-30 00:00:00	USA	Best	Commercial	Pluvicto	168	817
2024-12-01 00:00:00	USA	Best	Commercial	Pluvicto	169	822
2024-12-02 00:00:00	USA	Best	Commercial	Pluvicto	170	827
2024-12-03 00:00:00	USA	Best	Commercial	Pluvicto	171	832
2024-12-04 00:00:00	USA	Best	Commercial	Pluvicto	172	837
2024-12-05 00:00:00	USA	Best	Commercial	Pluvicto	173	842
2024-12-06 00:00:00	USA	Best	Commercial	Pluvicto	174	847
2024-12-07 00:00:00	USA	Best	Commercial	Pluvicto	175	852
2024-12-08 00:00:00	USA	Best	Commercial	Pluvicto	176	857
2024-12-09 00:00:00	USA	Best	Commercial	Pluvicto	177	862
2024-12-10 00:00:00	USA	Best	Commercial	Pluvicto	178	867
2024-12-11 00:00:00	USA	Best	Commercial	Pluvicto	179	872
2024-12-12 00:00:00	USA	Best	Commercial	Pluvicto	180	877
2024-12-13 00:00:00	USA	Best	Commercial	Pluvicto	181	882
2024-12-14 00:00:00	USA	Best	Commercial	Pluvicto	182	887
2024-12-15 00:00:00	USA	Best	Commercial	Pluvicto	183	892
2024-12-16 00:00:00	USA	Best	Commercial	Pluvicto	184	897
2024-12-17 00:00:00	USA	Best	Commercial	Pluvicto	185	902
2024-12-18 00:00:00	USA	Best	Commercial	Pluvicto	186	907
2024-12-19 00:00:00	USA	Best	Commercial	Pluvicto	187	912
